Title,By,Section,Date,keywords,keycount
"Reaching ‘Herd Immunity’ Is Unlikely in the U.S., Experts Now Believe",By Apoorva Mandavilli,Health,2021-05-03,your-feed-science;Disease Rates;Coronavirus (2019-nCoV);Epidemics;Vaccination and Immunization;United States,6
"F.B.I. Searches Giuliani’s Home and Office, Seizing Phones and Computers","By William K. Rashbaum, Ben Protess, Maggie Haberman and Kenneth P. Vogel",New York,2021-04-28,"Trump-Ukraine Whistle-Blower Complaint and Impeachment Inquiry;Trump, Donald J;Giuliani, Rudolph W;Justice Department",4
Millions Are Skipping Their Second Doses of Covid Vaccines,By Rebecca Robbins,Business,2021-04-25,Coronavirus (2019-nCoV);Vaccination and Immunization;Drugs (Pharmaceuticals);Centers for Disease Control and Prevention;Moderna Inc;Pfizer Inc;Walgreen Co;United States,8
E.U. Set to Let Vaccinated U.S. Tourists Visit This Summer,By Matina Stevis-Gridneff,World,2021-04-25,"Travel Warnings;Vaccination Proof and Immunization Records;Coronavirus (2019-nCoV);Travel and Vacations;Vaccination and Immunization;von der Leyen, Ursula;European Commission;European Union;Europe;United States",10
An unvaccinated worker set off an outbreak at a U.S. nursing home where most residents were immunized.,By Roni Caryn Rabin,Health,2021-04-21,internal-essential;Vaccination and Immunization;Nursing Homes;Health Insurance and Managed Care;Coronavirus (2019-nCoV),5
There’s a Name for the Blah You’re Feeling: It’s Called Languishing,By Adam Grant,Well,2021-04-19,Mental Health and Disorders;Anxiety and Stress;Loneliness;Depression (Mental);Grief (Emotion);Psychology and Psychologists;Coronavirus (2019-nCoV);Quarantine (Life and Culture);Content Type: Service,9
Video Is Released of Chicago Police Fatally Shooting 13-Year-Old,By Julie Bosman and Neil MacFarquhar,U.S.,2021-04-15,"Police Brutality, Misconduct and Shootings;Video Recordings, Downloads and Streaming;Toledo, Adam (d 2021);Stillman, Eric E (Chicago, Ill, Police Officer);Chicago (Ill)",5
The Minnesota officer who killed Daunte Wright was charged with manslaughter.,By Nicholas Bogel-Burroughs and Julie Bosman,U.S.,2021-04-14,"Wright, Daunte (d 2021)",1
Johnson & Johnson Vaccinations Paused After Rare Clotting Cases Emerge,"By Noah Weiland, Sharon LaFraniere and Carl Zimmer",U.S.,2021-04-13,Coronavirus (2019-nCoV);Vaccination and Immunization;Blood Clots;United States Politics and Government;Regulation and Deregulation of Industry;Johnson & Johnson;Centers for Disease Control and Prevention;Food and Drug Administration;Moderna Inc;Pfizer Inc;AstraZeneca PLC,11
"DMX on Life Support in ‘Vegetative State,’ Ex-Manager Says",By Jesus Jiménez,Arts,2021-04-04,Rap and Hip-Hop;DMX,2
